Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: J.D. Power,Water,Proof point: J.D. Power,Proof point: KBB
2026,BMW,i5,xDrive40,AWD,Sedan,No,"",B35536,WBY33HG00TCW06988,Green,11,https://cdn.max.auto/102612/WBY33HG00TCW06988/68ad002a085a2841a9c8d9bf.jpg,S,,"",57,0,0,0,2,7,Retail,White,"$81,360.00","","$81,360.00","$76,642.00","$4,718.00","","",104%,98%,7,7,8,8,28,42,"$3,166.00 above",$0.00 below,On,3.7%,512,19,"","","","","",""
2024,BMW,X5,xDrive50e,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35320A,5UX43EU00R9U35267,Green,20,https://cdn.max.auto/102612/5UX43EU00R9U35267/68ab5ddc823a478e0c4a782a.jpg,S,,"",57,2,0.3,1,6,"33,652",Retail,Black,"$61,998.00",2025-10-09T06:47:00.000Z,"","$60,015.78","$1,982.22","$51,425.00","$59,700.00","","","","","","","","","","",On,2.7%,"14,558",393,"$56,100.00","-$3,915.78","$56,675.00","-$3,340.78","$2,552.00 below",$724.00 above
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34298,WBX73EF08S5138243,Green,20,https://cdn.max.auto/102612/WBX73EF08S5138243/68a790148c600ad0fd0451ed.jpg,S,Oil Change|BMW CPO,"",56,0,0,0,2,"7,672",Retail,Gray,"$40,998.00",2025-10-10T06:29:00.000Z,"","$38,918.92","$2,079.08","$35,800.00","$41,475.00",98%,93%,2,7,69,426,35,26,$645.00 below,"",On,0.9%,"8,039",70,"$35,900.00","-$3,018.92","$35,850.00","-$3,068.92","$3,152.00 below","$2,457.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35552,5UX53GP05T9160157,Green,13,https://cdn.max.auto/102612/5UX53GP05T9160157/68a757d78c600ad0fd2f1c63.jpg,S,,"",55,0,0,0,1,4,Retail,Gray,"$61,440.00","","$61,440.00","$58,112.00","$3,328.00","","",107%,101%,322,351,410,481,177,253,"$3,830.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35546,5UX43EU01T9160967,Green,12,https://cdn.max.auto/102612/5UX43EU01T9160967/68b49872085a2841a92d4458.jpg,S,,"",55,0,0,0,7,8,Retail,Black,"$85,075.00","","$85,075.00","$80,092.00","$4,983.00","","",102%,96%,27,36,295,346,53,50,"$1,836.00 above",$0.00 below,On,3.2%,440,14,"","","","","",""
2026,BMW,4 Series,430i xDrive,AWD,Convertible,No,"",B35549,WBA53DB03TCW15403,Red,11,https://cdn.max.auto/102612/WBA53DB03TCW15403/68ad0029085a2841a9c8d724.jpg,S,,"",55,1,0.1,0,5,10,Retail,Blue,"$73,110.00","","$73,110.00","$69,105.70","$4,004.30","","",105%,99%,16,17,32,42,67,77,"$3,260.00 above",$0.00 below,On,9.0%,"2,571",231,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35550,WBX73EF02T5417656,Green,11,https://cdn.max.auto/102612/WBX73EF02T5417656/68a8ec13823a478e0c98e08d.jpg,S,,"",55,0,0,0,2,5,Retail,Gray,"$48,305.00","","$48,305.00","$45,897.00","$2,408.00","","",99%,94%,53,123,65,174,193,284,$693.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34545,WBA53FJ05SCU15554,Green,20,https://cdn.max.auto/102612/WBA53FJ05SCU15554/68a8ec0e823a478e0c98d1cd.jpg,S,Oil Change|BMW CPO,"",55,0,0,0,2,"8,005",Retail,Blue,"$56,998.00",2025-10-11T09:05:00.000Z,"","$56,029.86",$968.14,"$46,650.00","$56,400.00",100%,98%,11,17,34,67,78,81,$30.00 above,"",On,0.9%,"26,547",252,"$43,600.00","-$12,429.86","","","$3,473.00 above",""
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34347,WBX73EF05S5138023,Green,20,https://cdn.max.auto/102612/WBX73EF05S5138023/68a8b3e28c600ad0fdd35e8c.jpg,S,Oil Change|BMW CPO,"",55,0,0,0,1,"6,982",Retail,Blue,"$40,998.00",2025-10-11T09:06:00.000Z,"","$36,541.65","$4,456.35","$35,950.00","$41,425.00",97%,86%,1,17,18,103,34,46,"$1,298.00 below","",On,2.0%,"14,443",284,"$35,800.00",-$741.65,"$35,850.00",-$691.65,"$3,152.00 below","$2,363.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34255,3MW89CW01S8F12132,Green,20,https://cdn.max.auto/102612/3MW89CW01S8F12132/68a7ac3d8c600ad0fd63c022.jpg,S,Oil Change|BMW CPO,"",55,1,0.1,1,4,"7,272",Sold,Black,"$44,998.00",2025-10-02T09:12:00.000Z,"","$40,965.98","$4,032.02","$37,200.00","$46,350.00",98%,89%,17,35,18,83,34,93,$840.00 below,"",On,1.0%,"22,556",219,"$39,600.00","-$1,365.98","$41,475.00",$509.02,"$2,227.00 below",$983.00 below
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35559,WBX73EF07T5417636,Green,13,https://cdn.max.auto/102612/WBX73EF07T5417636/68ae27b5085a2841a971a750.jpg,S,,"",54,0,0,0,0,6,Retail,White,"$49,255.00","","$49,255.00","$46,782.00","$2,473.00","","",101%,95%,76,123,101,174,193,284,$257.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,Jeep,Grand Cherokee,Limited,4WD,SUV,No,"",B35442A,1C4RJHBG9N8602983,Red,20,https://cdn.max.auto/102612/1C4RJHBG9N8602983/68bb3a77085a2841a9bdaa02.jpg,S,Oil Change,"",54,0,0,0,0,"44,837",Retail,Gray,"$28,898.00",2025-10-14T12:50:00.000Z,"","$28,772.73",$125.27,"$26,325.00","$29,825.00",96%,96%,8,22,173,1222,69,55,"$1,194.00 below","",On,4.6%,"2,415",111,"$26,100.00","-$2,672.73","$28,000.00",-$772.73,"$2,027.00 below",$221.00 above
2023,BMW,X7,xDrive40i,AWD,SUV,No,"",B35152A,5UX23EM09P9R99388,Green,20,https://cdn.max.auto/102612/5UX23EM09P9R99388/68b1fc67085a2841a90cd478.jpg,S,Oil Change,"",55,0,0,0,0,"60,856",Retail,Black,"$53,898.00",2025-10-14T12:50:00.000Z,"","$52,493.01","$1,404.99","$45,400.00","$53,175.00",100%,97%,5,10,12,232,67,180,$247.00 below,"",On,0.9%,"7,237",63,"$44,700.00","-$7,793.01","$57,850.00","$5,356.99","$11,152.00 below","$4,378.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34308,WBX73EF00S5138561,Green,20,https://cdn.max.auto/102612/WBX73EF00S5138561/68ab5de4823a478e0c4b3baa.jpg,S,Oil Change|BMW CPO,"",54,0,0,1,5,"8,345",Retail,Blue,"$41,498.00",2025-09-22T07:08:00.000Z,"","$37,410.55","$4,087.45","$35,600.00","$41,150.00",98%,89%,5,10,17,43,55,60,$769.00 below,"",On,1.8%,"1,285",23,"$35,300.00","-$2,110.55","$35,850.00","-$1,560.55","$2,652.00 below","$3,004.00 above"
2025,BMW,X2,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34370,WBX63GM02S5142668,Green,20,https://cdn.max.auto/102612/WBX63GM02S5142668/68ace08c085a2841a94b0602.jpg,S,Oil Change|BMW CPO,"",54,2,0.3,0,4,"6,312",Retail,Gray,"$42,898.00",2025-10-13T07:17:00.000Z,"","$40,550.10","$2,347.90","$37,425.00","$43,100.00",98%,92%,6,22,92,224,52,73,"$1,065.00 below","",On,3.4%,"17,829",603,"$37,300.00","-$3,250.10","$39,950.00",-$600.10,$702.00 below,"$3,706.00 above"
2025,BMW,X2,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34489,WBX63GM02S5165674,Green,20,https://cdn.max.auto/102612/WBX63GM02S5165674/68adcfb7085a2841a939ae1d.jpg,S,Oil Change|BMW CPO,"",54,0,0,0,0,"6,611",Retail,Gray,"$44,498.00",2025-10-14T12:51:00.000Z,"","$42,507.74","$1,990.26","$37,350.00","$43,050.00","","","","","","","","","","",On,1.1%,"11,140",119,"$37,600.00","-$4,907.74","$39,950.00","-$2,557.74","$1,202.00 below","$5,345.00 above"
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35565,5UX23EU05T9165192,Green,11,https://cdn.max.auto/102612/5UX23EU05T9165192/68b0dc29085a2841a9f9a4dd.jpg,S,,"",51,0,0,0,4,4,Retail,Blue,"$77,625.00","","$77,625.00","$73,162.00","$4,463.00","","",99%,93%,68,172,94,346,53,62,"$1,131.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35569,5UX53GP07T9164842,Green,13,https://cdn.max.auto/102612/5UX53GP07T9164842/68b0dc2b085a2841a9f9b141.jpg,S,,"",51,0,0,0,1,3,Retail,White,"$58,240.00","","$58,240.00","$55,137.00","$3,103.00","","",101%,96%,223,351,287,481,177,253,$630.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,BMW,2 Series,M235i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BN28884,WBA13AL01N7L29623,Red,20,https://cdn.max.auto/102612/WBA13AL01N7L29623/68ae43ab085a2841a9c2d438.jpg,S,Oil Change|BMW CPO,"",53,1,0.1,0,2,"15,161",Retail,White,"$37,548.00",2025-10-13T07:09:00.000Z,"","$37,493.31",$54.69,"$31,850.00","$36,025.00","","","","","","","","","","",On,4.0%,"8,174",325,"$32,000.00","-$5,493.31","$36,150.00","-$1,343.31","$3,752.00 below",$355.00 below
2024,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34265A,5UX23EU02R9S43307,Green,20,https://cdn.max.auto/102612/5UX23EU02R9S43307/68b5f0d9085a2841a98b3cdf.jpg,S,Oil Change|BMW CPO,"",53,0,0,0,2,"25,129",Retail,Black,"$59,998.00",2025-10-14T12:51:00.000Z,"","$60,116.28",-$118.28,"$51,775.00","$60,650.00",100%,100%,11,22,72,112,58,43,$232.00 below,"",On,3.3%,"6,749",226,"$49,700.00","-$10,416.28","$51,100.00","-$9,016.28",$302.00 below,"$2,460.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34247,3MW89CW02S8F13130,Green,20,https://cdn.max.auto/102612/3MW89CW02S8F13130/68b0a052085a2841a9fddc47.jpg,S,Oil Change|BMW CPO,"",51,0,0,1,6,"6,317",Retail,Black,"$46,798.00",2025-10-06T07:29:00.000Z,"","$42,955.84","$3,842.16","$37,400.00","$46,450.00",102%,94%,12,18,52,287,47,60,$916.00 above,"",On,1.0%,"15,615",155,"$40,100.00","-$2,855.84","$41,475.00","-$1,480.84",$427.00 below,$659.00 above
2025,BMW,i5,xDrive40,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34276,WBY13HG05SCT09057,Green,20,https://cdn.max.auto/102612/WBY13HG05SCT09057/68af64ad085a2841a9bfbce6.jpg,S,Non-Smoker|BMW CPO,"",51,0,0,0,5,"5,289",Retail,Green,"$65,998.00",2025-10-06T14:04:00.000Z,"","$59,103.07","$6,894.93","$45,725.00","$65,425.00",97%,87%,4,10,18,53,42,82,"$2,026.00 below","",On,1.1%,"9,288",98,"$50,400.00","-$8,703.07","","","$3,798.00 above",""
2022,BMW,X7,xDrive40i,AWD,SUV,No,"",BL34340A,5UXCW2C00N9L66481,Yellow,20,https://cdn.max.auto/102612/5UXCW2C00N9L66481/68b9fe3b085a2841a97950e1.jpg,S,,"",52,0,0,0,1,"94,045",Retail,White,"$39,498.00",2025-10-14T12:52:00.000Z,"","$39,097.17",$400.83,"$31,850.00","$37,075.00","","","","","","","","","","",On,2.0%,"2,639",52,"$32,700.00","-$6,397.17","$41,175.00","$2,077.83","$7,077.00 below",$704.00 above
2025,BMW,X3,M50 xDrive,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35406A,5UX73GP09S9003125,Green,20,https://cdn.max.auto/102612/5UX73GP09S9003125/68b7114b085a2841a908e4f3.jpg,S,Oil Change|BMW CPO,"",50,0,0,1,4,"2,749",Retail,Blue,"$63,998.00",2025-10-06T14:04:00.000Z,"","$61,943.32","$2,054.68","$57,050.00","$63,525.00",98%,95%,16,29,1319,1377,26,57,"$1,319.00 below","",On,3.5%,"15,285",529,"$57,700.00","-$4,243.32","$62,300.00",$356.68,"$4,677.00 below","$2,395.00 below"
2024,Toyota,bZ4X,XLE,AWD,SUV,No,"",B35406B,JTMABACA5RA090407,Yellow,20,https://cdn.max.auto/102612/JTMABACA5RA090407/68b7114b085a2841a908e71e.jpg,S,Oil Change,"",50,0,0,1,2,"7,337",Retail,White,"$26,398.00",2025-10-06T07:14:00.000Z,"","$24,628.17","$1,769.83","$19,475.00","$25,600.00",92%,86%,4,11,15,46,30,40,"$2,264.00 below","",On,4.2%,"3,976",168,"$22,500.00","-$2,128.17","$25,225.00",$596.83,"$1,552.00 below","$1,003.00 above"
2025,BMW,2 Series,M240i xDrive,AWD,Coupe,No,"",B35589,3MW53CM08S8F74943,Green,13,https://cdn.max.auto/102612/3MW53CM08S8F74943/68b0845a085a2841a9900709.jpg,S,,"",49,0,0,0,2,11,Retail,Black,"$63,105.00","","$63,105.00","$59,667.00","$3,438.00","","",104%,98%,11,11,73,73,89,47,"$2,409.00 above",$0.00 below,On,8.0%,"3,650",293,"","","","","",""
2022,Ford,Bronco Sport,Badlands,4WD,SUV,No,"",B35540A,3FMCR9D9XNRE21114,Yellow,20,https://cdn.max.auto/102612/3FMCR9D9XNRE21114/68b358a1085a2841a9f7d270.jpg,S,Oil Change,"",49,0,0,0,3,"23,594",Retail,Black,"$27,998.00",2025-10-07T05:45:00.000Z,"","$24,999.39","$2,998.61","$25,625.00","$28,225.00",94%,84%,8,22,422,491,50,68,"$1,859.00 below","",On,2.1%,"14,619",306,"$25,100.00",$100.61,"$28,250.00","$3,250.61","$3,602.00 below",$349.00 below
2024,Audi,A5 Sportback,S line Premium,AWD,Sedan,No,"",B35353A,WAUDACF5XRA101022,Yellow,20,https://cdn.max.auto/102612/WAUDACF5XRA101022/68b358a1085a2841a9f7d350.jpg,S,Oil Change,"",49,1,0.1,1,1,"18,939",Retail,Blue,"$35,798.00",2025-10-07T05:46:00.000Z,"","$34,856.99",$941.01,"$32,525.00","$36,875.00","","","","","","","","","","",On,3.7%,"22,366",833,"$31,200.00","-$3,656.99","$34,300.00",-$556.99,"$3,002.00 below","$1,336.00 above"
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35564,WBX73EF09T5423728,Green,11,https://cdn.max.auto/102612/WBX73EF09T5423728/68b0dc2b085a2841a9f9b443.jpg,S,,"",49,0,0,0,0,11,Retail,Gray,"$47,755.00","","$47,755.00","$45,387.00","$2,368.00","","",97%,93%,40,123,47,174,193,284,"$1,243.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34494,WBA53FJ07SCU15426,Green,20,https://cdn.max.auto/102612/WBA53FJ07SCU15426/68b62ca1085a2841a91fe2da.jpg,S,Oil Change|BMW CPO,"",49,0,0,0,6,"5,328",Retail,Black,"$59,498.00",2025-10-07T05:46:00.000Z,"","$55,478.67","$4,019.33","$47,750.00","$57,550.00","","","","","","","","","","",On,2.0%,"26,201",521,"$48,900.00","-$6,578.67","","","$5,973.00 above",""
2025,BMW,3 Series,330i xDrive,AWD,Sedan,No,"",B35573,3MW89CW01S8F75831,Green,13,https://cdn.max.auto/102612/3MW89CW01S8F75831/68b08457085a2841a98ff222.jpg,S,,"",49,0,0,0,1,14,Retail,Gray,"$55,175.00","","$55,175.00","$52,420.70","$2,754.30","","",107%,102%,71,73,88,94,35,54,"$3,640.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35592,5UX23EU03T9170715,Green,12,https://cdn.max.auto/102612/5UX23EU03T9170715/68c0bfce085a2841a96f8e5a.jpg,S,,"",110,0,0,0,2,4,Retail,Blue,"$76,975.00","","$76,975.00","$72,557.00","$4,418.00","","",98%,92%,54,172,73,346,53,62,"$1,781.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35596,5UX53GP01T9171446,Green,13,https://cdn.max.auto/102612/5UX53GP01T9171446/68b8a566085a2841a9d44657.jpg,S,,"",42,0,0,0,0,5,Retail,Blue,"$60,890.00","","$60,890.00","$57,602.00","$3,288.00","","",106%,100%,308,351,395,481,177,253,"$3,280.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,M5, ,AWD,Sedan,No,"",B35584,WBS83FK01TCW09698,Green,9,https://cdn.max.auto/102612/WBS83FK01TCW09698/68b1e04a085a2841a9ab242e.jpg,S,,"",49,1,0.1,0,5,13,Retail,Non-Color,"$146,950.00","","$146,950.00","$137,820.70","$9,129.30","","",112%,105%,11,11,11,11,76,76,"$15,757.00 above",$0.00 below,On,13.3%,"17,528","2,323","","","","","",""
2008,BMW,7 Series,750Li,RWD,Sedan,No,"",BL34326A,WBAHN83558DT85311,Red,0,"",S,,"",48,0,0,0,0,"175,263",Wholesale,"",$0.00,"","","$2,875.00","","$1,750.00","$6,500.00","","","","","","","","","","",On,0.0%,0,0,$950.00,"-$1,925.00","$1,620.00","-$1,255.00","",""
2017,INFINITI,QX50,,AWD,SUV,No,"",B35098C,JN1BJ0RR8HM404811,Red,20,https://cdn.max.auto/102612/JN1BJ0RR8HM404811/68bd9747085a2841a983576e.jpg,S,Oil Change,"",48,0,0,0,3,"81,317",Retail,Blue,"$14,998.00",2025-10-08T10:38:00.000Z,"","$14,563.39",$434.61,"$10,025.00","$14,100.00",102%,99%,11,17,104,181,43,48,$296.00 above,"",On,2.9%,"10,736",313,"$10,950.00","-$3,613.39","$12,800.00","-$1,763.39",$348.00 above,"$1,377.00 above"
2025,BMW,4 Series,M440i xDrive,AWD,Coupe,Yes,BMW Certified Pre-Owned (CPOV),B35538A,WBA83DA0XSCT14463,Yellow,20,https://cdn.max.auto/102612/WBA83DA0XSCT14463/68bf6015085a2841a91dda53.jpg,S,,"",48,0,0,0,1,"3,554",Retail,Red,"$64,998.00",2025-10-08T10:39:00.000Z,"","$60,492.62","$4,505.38","$59,525.00","$63,100.00",99%,92%,7,12,295,328,55,60,$513.00 below,"",On,3.1%,"26,418",831,"$60,500.00",$7.38,"","","$4,973.00 above",$847.00 above
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35547,5UX23EU03T9069156,Green,13,https://cdn.max.auto/102612/5UX23EU03T9069156/68b8a569085a2841a9d45082.jpg,S,,"",57,2,0.3,0,11,93,Retail,Black,"$76,475.00","","$76,475.00","$72,187.00","$4,288.00","","",97%,92%,47,172,65,346,53,62,"$2,281.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),B35416A,3MW89FF08P8C83988,Green,20,https://cdn.max.auto/102612/3MW89FF08P8C83988/68b9e1f7085a2841a90a8fd8.jpg,S,Oil Change|BMW CPO,"",47,2,0.3,1,6,"8,195",Retail,Blue,"$38,798.00",2025-10-13T07:27:00.000Z,"","$36,127.34","$2,670.66","$33,925.00","$39,350.00",98%,91%,3,11,597,825,54,23,$981.00 below,"",On,2.4%,"9,391",227,"$33,900.00","-$2,227.34","$37,525.00","$1,397.66","$3,752.00 below","$2,381.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34309,WBX73EF04S5146484,Green,20,https://cdn.max.auto/102612/WBX73EF04S5146484/68b5f0da085a2841a98b4b77.jpg,S,Oil Change|BMW CPO,"",47,2,0.3,2,7,"7,810",Retail,White,"$39,998.00",2025-10-09T06:48:00.000Z,"","$36,524.17","$3,473.83","$35,775.00","$41,400.00",95%,86%,1,16,4,36,64,53,"$2,317.00 below","",On,1.4%,"16,158",223,"$35,300.00","-$1,224.17","$35,850.00",-$674.17,"$4,152.00 below","$1,457.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34543,3MW89CW00S8F20271,Green,20,https://cdn.max.auto/102612/3MW89CW00S8F20271/68b5f0da085a2841a98b4389.jpg,S,Oil Change|BMW CPO,"",47,0,0,0,2,"7,276",Retail,Gray,"$46,398.00",2025-10-09T06:48:00.000Z,"","$42,514.73","$3,883.27","$37,150.00","$46,350.00",101%,93%,11,15,35,117,32,84,$642.00 above,"",On,0.8%,"15,638",127,"$39,900.00","-$2,614.73","$41,475.00","-$1,039.73",$827.00 below,$417.00 above
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34497,WBA53FJ04SCU14668,Green,20,https://cdn.max.auto/102612/WBA53FJ04SCU14668/68b62ca1085a2841a91fe6fe.jpg,S,Oil Change|BMW CPO,"",47,0,0,0,1,"6,131",Retail,Blue,"$59,998.00",2025-10-09T06:53:00.000Z,"","$58,916.90","$1,081.10","$47,450.00","$56,675.00",104%,102%,6,6,27,34,70,49,"$2,059.00 above","",On,0.5%,"23,159",125,"$44,300.00","-$14,616.90","","","$6,473.00 above",""
2017,Toyota,RAV4 Hybrid,XLE,AWD,SUV,No,"",B35396B,JTMRJREV0HD095564,Red,20,https://cdn.max.auto/102612/JTMRJREV0HD095564/68b9fe3b085a2841a979509a.jpg,S,Oil Change,"",47,0,0,0,2,"95,853",Retail,Blue,"$18,298.00",2025-10-09T06:54:00.000Z,"","$17,805.85",$492.15,"$14,500.00","$18,100.00","","","","","","","","","","",On,1.9%,"10,112",189,"$15,650.00","-$2,155.85","$15,850.00","-$1,955.85",$702.00 below,$610.00 above
2026,BMW,M5, ,AWD,Sedan,No,"",B35617,WBS83FK03TCW17351,Green,13,https://cdn.max.auto/102612/WBS83FK03TCW17351/68d2e3eec34e3766272b1aa0.jpg,S,,"",43,0,0,0,3,19,Retail,Non-Color,"$147,405.00","","$147,405.00","$138,080.00","$9,325.00","","",112%,105%,11,11,11,11,76,76,"$16,212.00 above",$0.00 below,On,19.9%,"15,250","3,039","","","","","",""
2018,Lexus,RX,,AWD,SUV,No,"",B35449A,2T2BZMCA6JC153088,Red,20,https://cdn.max.auto/102612/2T2BZMCA6JC153088/68bf0bdd085a2841a9d3e555.jpg,S,Oil Change,"",45,1,0.1,1,4,"54,937",Retail,White,"$29,298.00",2025-10-13T07:15:00.000Z,"","$29,846.21",-$548.21,"$25,800.00","$29,100.00",100%,101%,10,17,49,76,41,40,$121.00 below,"",On,2.5%,"32,473",800,"$25,000.00","-$4,846.21","$28,625.00","-$1,221.21",$827.00 below,$239.00 above
2022,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35585A,5UXCR6C04N9K18025,Green,20,https://cdn.max.auto/102612/5UXCR6C04N9K18025/68bd50f7085a2841a91762b8.jpg,S,Oil Change|BMW CPO,"",45,0,0,2,5,"37,610",Sold,Black,"$49,498.00",2025-10-02T13:02:00.000Z,"","$48,854.54",$643.46,"$38,975.00","$44,400.00",101%,99%,5,9,308,355,54,17,$363.00 above,"",On,4.5%,"8,524",380,"$40,100.00","-$8,754.54","$44,100.00","-$4,754.54","$2,252.00 below","$4,310.00 above"
2020,Volvo,XC90,Inscription,AWD,SUV,No,"",B35401A,YV4A22PL8L1611464,Yellow,20,https://cdn.max.auto/102612/YV4A22PL8L1611464/68bcaf1e085a2841a93d17d5.jpg,S,Alignment|Oil Change,"",45,0,0,0,0,"77,805",Retail,"","$28,998.00",2025-09-15T10:57:00.000Z,"","$28,257.17",$740.83,"$21,900.00","$26,550.00",103%,101%,22,39,112,178,51,64,$973.00 above,"",Off,0.0%,0,0,"$22,500.00","-$5,757.17","$25,350.00","-$2,907.17",$548.00 above,"$1,651.00 above"
2014,BMW,X1,xDrive28i,AWD,SUV,No,"",B35541A,WBAVL1C5XEVR95078,Red,20,https://cdn.max.auto/102612/WBAVL1C5XEVR95078/68c08402085a2841a9a46116.jpg,S,Oil Change,"",45,0,0,0,3,"78,959",Wholesale,Silver,$0.00,2025-09-17T08:53:00.000Z,"","$5,158.50","","$5,975.00","$9,975.00","","","","","","","","","","",On,0.0%,0,0,"$4,775.00",-$383.50,"$5,700.00",$541.50,"",""
2022,Mercedes-Benz,GLE,GLE 350,AWD,SUV,No,"",B35605A,4JGFB4KB0NA689061,Yellow,20,https://cdn.max.auto/102612/4JGFB4KB0NA689061/68bb7645085a2841a981f3c2.jpg,S,,"",44,1,0.1,0,3,"9,867",Retail,White,"$47,498.00",2025-10-14T12:52:00.000Z,"","$45,058.62","$2,439.38","$42,425.00","$50,700.00",92%,88%,2,9,210,341,53,29,"$3,961.00 below","",On,3.0%,"18,363",550,"$46,600.00","$1,541.38","$43,950.00","-$1,108.62",$452.00 below,"$2,802.00 below"
2024,Acura,TLX,w/A-Spec Package,AWD,Sedan,No,"",B35360A,19UUB6F59RA001612,Yellow,20,https://cdn.max.auto/102612/19UUB6F59RA001612/68b8897b085a2841a9687834.jpg,S,Oil Change,"",44,1,0.1,0,2,"6,432",Retail,White,"$39,998.00",2025-10-14T12:56:00.000Z,"","$40,276.76",-$278.76,"$38,450.00","$41,175.00",100%,100%,3,10,18,35,48,38,$192.00 below,"",On,2.7%,"14,168",389,"$39,200.00","-$1,076.76","$40,475.00",$198.24,"$4,727.00 below","$2,266.00 below"
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35621,5UX43EU07T9176798,Green,13,https://cdn.max.auto/102612/5UX43EU07T9176798/68b8a566085a2841a9d44446.jpg,S,,"",43,1,0.1,0,4,4,Retail,White,"$83,925.00","","$83,925.00","$79,022.00","$4,903.00","","",101%,95%,23,36,269,346,53,50,$686.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35620,5UX43EU01T9176957,Green,13,https://cdn.max.auto/102612/5UX43EU01T9176957/68bf27de085a2841a930b2ce.jpg,S,,"",41,0,0,0,6,4,Retail,Black,"$85,075.00","","$85,075.00","$80,092.00","$4,983.00","","",102%,96%,27,36,295,346,53,50,"$1,836.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X7,M60i,AWD,SUV,No,"",B35607,5UX33EM05T9169098,Green,9,https://cdn.max.auto/102612/5UX33EM05T9169098/68c1a44f085a2841a96f4b52.jpg,S,,"",41,0,0,0,3,14,Retail,Blue,"$128,530.00","","$128,530.00","$120,507.00","$8,023.00","","",106%,99%,13,13,112,112,56,78,"$6,945.00 above",$0.00 below,On,6.4%,"1,422",91,"","","","","",""
